Season,Random,Home team wins,Higher ELO,Random Forest,Naive Bayes,Logistic Regression,K-nearest neighbours
2006,47.35729386892178,59.1261451726568,55.602536997885835,57.15292459478506,57.787174066243836,60.32417195207893,54.897815362931645
2007,49.751948972360026,61.09142452161588,56.98086463501063,57.476966690290574,55.988660524450744,57.76045357902197,56.20127569099929
2008,50.526315789473685,60.14035087719298,63.1578947368421,64.0,64.21052631578948,64.91228070175438,60.771929824561404
2009,50.0,60.18258426966292,62.21910112359551,62.640449438202246,58.497191011235955,64.67696629213484,60.32303370786517
2010,49.648382559774966,61.251758087201125,60.61884669479606,60.19690576652602,62.65822784810127,61.533052039381154,58.64978902953587
2011,50.54347826086956,59.42028985507246,63.405797101449274,62.22826086956522,63.677536231884055,66.03260869565217,59.32971014492754
2012,53.098591549295776,61.40845070422535,62.183098591549296,60.140845070422536,60.985915492957744,63.732394366197184,60.28169014084507
2013,49.05395935529082,57.393132445690256,58.374211632796076,58.02382620882971,58.3041345480028,60.54660126138753,57.74351786965662
2014,48.73060648801128,57.54583921015515,58.25105782792666,59.09732016925247,58.110014104372354,59.80253878702398,55.994358251057825
2015,49.78813559322034,59.39265536723164,64.26553672316385,61.15819209039548,62.570621468926554,63.27683615819209,60.31073446327684
2016,51.03202846975089,58.07829181494662,62.84697508896797,60.99644128113879,62.91814946619217,62.63345195729537,59.21708185053381
2017,50.65123010130246,58.24891461649783,60.99855282199711,60.78147612156295,61.505065123010134,61.43270622286541,56.72937771345875
2018,49.27431059506531,58.78084179970973,61.17561683599419,62.11901306240929,59.43396226415094,61.97387518142235,60.30478955007257
